real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
44,44.0,-0.004253235645592213,141.2022705078125,-0.6909492611885071,0.0,0.0,0.0002512945211492479,0.050799474120140076,-0.6909362077713013
72,28.0,0.010973794385790825,93.43254852294922,-0.6879357099533081,0.0,0.0,0.025222336873412132,0.04646996408700943,-0.6828287243843079
94,22.0,-0.007792181335389614,71.63855743408203,-0.691360592842102,0.0,0.0,-0.03543900325894356,0.0421648845076561,-0.690372884273529
113,19.0,-0.00867934338748455,59.528968811035156,-0.6898761987686157,0.0,0.0,-0.026964565739035606,0.047468844801187515,-0.6811032295227051
130,17.0,0.0025339415296912193,51.52765655517578,-0.6796302199363708,0.043894849717617035,1.0083338419596355,-0.06748577952384949,0.10039424896240234,-0.6724640130996704
150,20.0,0.05351072922348976,63.645530700683594,-0.6784141659736633,0.03803389643629392,0.9324427048365275,-0.013926026411354542,0.0322076752781868,-0.6760667562484741
162,12.0,0.02754184976220131,31.496007919311523,-0.6883606314659119,0.032909877598285675,0.8542741735776266,-0.064576655626297,0.052684348076581955,-0.6835847496986389
177,15.0,0.0020569791086018085,42.85765838623047,-0.684851884841919,0.02893536537885666,0.7825135588645935,-0.03361934423446655,0.0833725556731224,-0.6833933591842651
196,19.0,-0.02011604607105255,57.475868225097656,-0.6862180829048157,0.025627390791972477,0.7067668437957764,-0.04085445776581764,0.09961894899606705,-0.6818445920944214
215,19.0,-0.0021997105795890093,56.51474380493164,-0.6840255856513977,0.02250830518702666,0.6485877434412638,-0.05166234076023102,0.1606067270040512,-0.6799370050430298
228,13.0,-0.06549781560897827,32.57793426513672,-0.6805620789527893,0.019727354869246483,0.5794089635213217,-0.01853526011109352,0.19043394923210144,-0.6722851991653442
257,29.0,-0.02783585526049137,92.63961791992188,-0.6762702465057373,0.017920507738987606,0.5195571482181549,0.03965448960661888,0.1938389539718628,-0.6780617833137512
271,14.0,0.07714024186134338,35.01812744140625,-0.6790350675582886,0.01624382473528385,0.4556066393852234,-0.005467904265969992,0.305980920791626,-0.6855267286300659
286,15.0,0.011056741699576378,38.38969039916992,-0.6884647011756897,0.014898607196907202,0.40110523502031964,0.009755277074873447,0.2745278775691986,-0.6911159157752991
305,19.0,-0.011326149106025696,52.99091339111328,-0.692365288734436,0.013221159887810549,0.3542638421058655,-0.00473074009642005,0.39265134930610657,-0.6926664710044861
322,17.0,0.02095934934914112,42.401123046875,-0.692080557346344,0.011921841030319532,0.304794579744339,-0.008765573613345623,0.48104679584503174,-0.6916674375534058
372,50.0,-0.03266947343945503,142.568115234375,-0.688554048538208,0.010656010980407396,0.2493180731932322,0.0014359205961227417,0.6200488805770874,-0.688848614692688
399,27.0,0.0034364848397672176,79.67365264892578,-0.6883649230003357,0.00920112431049347,0.210450679063797,0.017087524756789207,0.702282726764679,-0.6900649666786194
